max_depth,n_estimators,learning_rate,corr
3,100,0.01,0.628613134
3,100,0.03,0.648785556
3,100,0.05,0.652300315
3,100,0.07,0.653773014
3,100,0.09,0.653848863
3,100,0.11,0.654026129
3,100,0.13,0.6538721
3,100,0.15,0.65410414
3,100,0.17,0.653556477
3,100,0.19,0.653560266
3,100,0.21,0.653100103
3,100,0.23,0.652879003
3,100,0.25,0.652885356
3,100,0.27,0.652186869
3,100,0.29,0.651729321
3,150,0.01,0.638430112
3,150,0.03,0.651818714
3,150,0.05,0.653771297
3,150,0.07,0.654430915
3,150,0.09,0.654340898
3,150,0.11,0.654317499
3,150,0.13,0.654025485
3,150,0.15,0.654137406
3,150,0.17,0.653531569
3,150,0.19,0.653509268
3,150,0.21,0.652881858
3,150,0.23,0.652602848
3,150,0.25,0.652489264
3,150,0.27,0.652045158
3,150,0.29,0.651271814
3,200,0.01,0.643769972
3,200,0.03,0.653203679
3,200,0.05,0.654326357
3,200,0.07,0.65460642
3,200,0.09,0.654338986
3,200,0.11,0.65437962
3,200,0.13,0.654017681
3,200,0.15,0.654055301
3,200,0.17,0.653298473
3,200,0.19,0.653216778
3,200,0.21,0.652607612
3,200,0.23,0.652207274
3,200,0.25,0.651977245
3,200,0.27,0.651534649
3,200,0.29,0.65081324
3,250,0.01,0.64691253
3,250,0.03,0.65381757
3,250,0.05,0.654546638
3,250,0.07,0.654664073
3,250,0.09,0.654417031
3,250,0.11,0.654286293
3,250,0.13,0.653831252
3,250,0.15,0.653799134
3,250,0.17,0.653098891
3,250,0.19,0.652921537
3,250,0.21,0.652121738
3,250,0.23,0.651725174
3,250,0.25,0.65132308
3,250,0.27,0.651006709
3,250,0.29,0.650060407
3,300,0.01,0.648878175
3,300,0.03,0.654134814
3,300,0.05,0.654612956
3,300,0.07,0.654687683
3,300,0.09,0.654295425
3,300,0.11,0.654117356
3,300,0.13,0.65353436
3,300,0.15,0.653474178
3,300,0.17,0.652862235
3,300,0.19,0.652585814
3,300,0.21,0.651639405
3,300,0.23,0.65121382
3,300,0.25,0.650694114
3,300,0.27,0.650415679
3,300,0.29,0.649381738
3,350,0.01,0.65020581
3,350,0.03,0.654433488
3,350,0.05,0.654654518
3,350,0.07,0.654701641
3,350,0.09,0.65416649
3,350,0.11,0.653961864
3,350,0.13,0.653240281
3,350,0.15,0.653019979
3,350,0.17,0.652578814
3,350,0.19,0.652131006
3,350,0.21,0.651390663
3,350,0.23,0.650807687
3,350,0.25,0.65018809
3,350,0.27,0.649782538
3,350,0.29,0.648519465
3,400,0.01,0.651151676
3,400,0.03,0.654555957
3,400,0.05,0.654656093
3,400,0.07,0.654581655
3,400,0.09,0.653970557
3,400,0.11,0.653743801
3,400,0.13,0.65304015
3,400,0.15,0.652775963
3,400,0.17,0.652297956
3,400,0.19,0.651692274
3,400,0.21,0.650762889
3,400,0.23,0.650304542
3,400,0.25,0.64967418
3,400,0.27,0.649126903
3,400,0.29,0.647820228
3,450,0.01,0.651848783
3,450,0.03,0.654626204
3,450,0.05,0.654638516
3,450,0.07,0.654468851
3,450,0.09,0.653854202
3,450,0.11,0.653511291
3,450,0.13,0.652844458
3,450,0.15,0.652427581
3,450,0.17,0.651917122
3,450,0.19,0.65118689
3,450,0.21,0.650253461
3,450,0.23,0.649652972
3,450,0.25,0.649215396
3,450,0.27,0.648652534
3,450,0.29,0.647321448
3,500,0.01,0.652428688
3,500,0.03,0.654668335
3,500,0.05,0.654587658
3,500,0.07,0.654329157
3,500,0.09,0.653669909
3,500,0.11,0.653248234
3,500,0.13,0.652485871
3,500,0.15,0.652125056
3,500,0.17,0.651491003
3,500,0.19,0.650660876
3,500,0.21,0.64994453
3,500,0.23,0.64927792
3,500,0.25,0.648749409
3,500,0.27,0.64810476
3,500,0.29,0.646766539
3,550,0.01,0.652913063
3,550,0.03,0.654674638
3,550,0.05,0.65456552
3,550,0.07,0.654239158
3,550,0.09,0.653486905
3,550,0.11,0.652986987
3,550,0.13,0.652141759
3,550,0.15,0.65187578
3,550,0.17,0.651065807
3,550,0.19,0.650139243
3,550,0.21,0.649431062
3,550,0.23,0.648809767
3,550,0.25,0.648253131
3,550,0.27,0.647590981
3,550,0.29,0.646156413
3,600,0.01,0.653317196
3,600,0.03,0.654683626
3,600,0.05,0.654481696
3,600,0.07,0.654115452
3,600,0.09,0.653357844
3,600,0.11,0.652808795
3,600,0.13,0.651914202
3,600,0.15,0.651596873
3,600,0.17,0.650690491
3,600,0.19,0.649779247
3,600,0.21,0.649080275
3,600,0.23,0.648436556
3,600,0.25,0.647689524
3,600,0.27,0.647059945
3,600,0.29,0.645710456
3,650,0.01,0.653604245
3,650,0.03,0.654694017
3,650,0.05,0.654388729
3,650,0.07,0.65395786
3,650,0.09,0.653166132
3,650,0.11,0.65263668
3,650,0.13,0.651687143
3,650,0.15,0.651163564
3,650,0.17,0.650334505
3,650,0.19,0.649395188
3,650,0.21,0.64860118
3,650,0.23,0.647835535
3,650,0.25,0.647260377
3,650,0.27,0.646505881
3,650,0.29,0.645159668
3,700,0.01,0.653808066
3,700,0.03,0.654697258
3,700,0.05,0.654321039
3,700,0.07,0.653772392
3,700,0.09,0.652918994
3,700,0.11,0.652293699
3,700,0.13,0.65139318
3,700,0.15,0.650766627
3,700,0.17,0.649955982
3,700,0.19,0.649031527
3,700,0.21,0.647931272
3,700,0.23,0.647611485
3,700,0.25,0.64695663
3,700,0.27,0.645945399
3,700,0.29,0.644609173
3,750,0.01,0.653947819
3,750,0.03,0.654702219
3,750,0.05,0.654214525
3,750,0.07,0.653691524
3,750,0.09,0.652688904
3,750,0.11,0.651954803
3,750,0.13,0.651117387
3,750,0.15,0.650622822
3,750,0.17,0.649590916
